"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"4620016.00",2125.00,1955.00,225.00,1735.00,170.00,2125.00,1740.00,365.00,20.00,1920.00,410.00,405.00,1110.00,1195.00,510.00,65.00,480.00,60.00,80.00,0.00,1920.00,1405.00,1250.00,155.00,520.00,2125.00,235.00,1770.00,120.00,725.00,85.00,590.00,45.00,1175.00,280.00,895.00,0.00
"4620017.00",2100.00,1975.00,310.00,1665.00,130.00,2100.00,1880.00,160.00,65.00,1850.00,370.00,385.00,1095.00,1045.00,480.00,30.00,365.00,90.00,60.00,0.00,1845.00,1235.00,1110.00,125.00,610.00,2100.00,310.00,1555.00,240.00,690.00,130.00,500.00,55.00,1185.00,315.00,870.00,0.00
"4620018.00",1935.00,1820.00,190.00,1625.00,115.00,1935.00,1740.00,165.00,30.00,1760.00,335.00,385.00,1050.00,980.00,430.00,50.00,340.00,70.00,65.00,20.00,1760.00,1205.00,1055.00,155.00,550.00,1935.00,200.00,1600.00,140.00,575.00,40.00,440.00,90.00,1130.00,175.00,955.00,0.00
"4620019.00",2320.00,2230.00,280.00,1950.00,90.00,2320.00,2015.00,280.00,25.00,2065.00,505.00,415.00,1150.00,1020.00,420.00,20.00,405.00,100.00,70.00,0.00,2065.00,1235.00,1060.00,170.00,830.00,2320.00,285.00,1685.00,355.00,870.00,75.00,580.00,215.00,1335.00,265.00,1065.00,0.00
"4620021.00",2950.00,2750.00,425.00,2320.00,205.00,2950.00,2525.00,390.00,30.00,2585.00,775.00,525.00,1280.00,1220.00,465.00,60.00,495.00,110.00,80.00,0.00,2585.00,1555.00,1270.00,285.00,1025.00,2950.00,430.00,2245.00,275.00,1260.00,180.00,930.00,155.00,1540.00,125.00,1410.00,0.00
"4620022.00",1495.00,1355.00,190.00,1170.00,140.00,1495.00,1270.00,150.00,75.00,1355.00,440.00,290.00,625.00,735.00,370.00,20.00,245.00,40.00,60.00,0.00,1355.00,890.00,745.00,140.00,470.00,1495.00,195.00,1230.00,75.00,525.00,100.00,390.00,35.00,790.00,145.00,650.00,0.00
"4620023.00",1245.00,1240.00,85.00,1150.00,0.00,1245.00,1145.00,95.00,0.00,1170.00,340.00,215.00,620.00,590.00,205.00,0.00,245.00,35.00,55.00,0.00,1170.00,685.00,605.00,85.00,485.00,1245.00,85.00,970.00,190.00,475.00,0.00,375.00,85.00,725.00,135.00,585.00,0.00
"4620024.00",2580.00,2485.00,415.00,2070.00,95.00,2585.00,2275.00,280.00,35.00,2230.00,630.00,410.00,1190.00,1085.00,330.00,40.00,490.00,95.00,125.00,0.00,2230.00,1275.00,1150.00,125.00,955.00,2580.00,410.00,1960.00,215.00,1075.00,230.00,750.00,90.00,1385.00,240.00,1145.00,0.00
"4620025.00",2880.00,2665.00,450.00,2220.00,210.00,2880.00,2385.00,455.00,35.00,2470.00,645.00,420.00,1410.00,1290.00,515.00,25.00,570.00,100.00,65.00,0.00,2475.00,1580.00,1405.00,175.00,895.00,2880.00,450.00,2235.00,200.00,1085.00,235.00,755.00,95.00,1490.00,370.00,1120.00,0.00
"4620026.00",2285.00,2185.00,235.00,1950.00,100.00,2285.00,2070.00,200.00,0.00,2065.00,550.00,430.00,1080.00,1280.00,410.00,55.00,585.00,215.00,20.00,0.00,2060.00,1430.00,1340.00,95.00,635.00,2285.00,230.00,1850.00,200.00,750.00,120.00,550.00,75.00,1360.00,380.00,985.00,0.00
