"","census_id","CLSC_code","census_type"
"7838","4420101.03","04151","CT"
"7845","4420101.04","04151","CT"
"7855","4420102.00","04151","CT"
"7864","4420200.00","04152","CT"
"7877","4420201.00","04152","CT"
"7884","4420202.00","04152","CT"
"7890","4420203.00","04152","CT"
"7897","4420204.00","04152","CT"
"7907","4420205.01","04152","CT"
"7921","4420205.02","04152","CT"
"7928","4420205.03","04152","CT"
"7937","4420210.00","04152","CT"
"7951","4420211.00","04152","CT"
"8527","4620001.00","06524","CT"
"8532","4620002.00","06524","CT"
"8537","4620003.00","06524","CT"
"8549","4620004.00","06524","CT"
"8555","4620005.00","06524","CT"
"8561","4620006.00","06524","CT"
"8569","4620007.00","06524","CT"
"8582","4620008.00","06524","CT"
"8591","4620009.00","06532","CT"
"8597","4620010.00","06532","CT"
"8601","4620011.00","06532","CT"
"8609","4620012.01","06532","CT"
"8613","4620012.02","06532","CT"
"8620","4620013.00","06532","CT"
"8631","4620014.01","06533","CT"
"8641","4620014.02","06533","CT"
"8643","4620015.00","06533","CT"
"8652","4620016.00","06533","CT"
"8657","4620017.00","06533","CT"
"8661","4620018.00","06533","CT"
"8665","4620019.00","06533","CT"
"8669","4620021.00","06533","CT"
"8674","4620022.00","06533","CT"
"8678","4620023.00","06533","CT"
"8681","4620024.00","06533","CT"
"8685","4620025.00","06533","CT"
"8690","4620026.00","06533","CT"
"8694","4620027.00","06533","CT"
"8697","4620028.00","06533","CT"
"8701","4620029.00","06533","CT"
"8710","4620030.00","06533","CT"
"8716","4620031.00","06533","CT"
"8721","4620032.00","06323","CT"
"8725","4620033.00","06323","CT"
"8729","4620034.00","06323","CT"
"8734","4620035.00","06323","CT"
"8739","4620036.00","06323","CT"
"8742","4620037.00","06323","CT"
"8747","4620038.00","06323","CT"
"8751","4620039.00","06323","CT"
"8755","4620040.00","06311","CT"
"8759","4620041.00","06323","CT"
"8762","4620042.00","06323","CT"
"8765","4620043.00","06323","CT"
"8767","4620044.00","06323","CT"
"8771","4620045.00","06323","CT"
"8774","4620046.00","06323","CT"
"8777","4620047.00","06323","CT"
"8780","4620048.00","06323","CT"
"8785","4620049.00","06323","CT"
"8789","4620050.00","06323","CT"
"8793","4620051.00","06323","CT"
"8795","4620052.00","06323","CT"
"8799","4620053.00","06323","CT"
"8801","4620054.00","06323","CT"
"8806","4620055.01","06324","CT"
"8810","4620055.02","06311","CT"
"8814","4620056.00","06324","CT"
"8816","4620057.00","06324","CT"
"8820","4620058.00","06324","CT"
"8823","4620059.00","06324","CT"
"8825","4620060.00","06324","CT"
"8827","4620061.00","06324","CT"
"8830","4620062.00","06324","CT"
"8831","4620063.00","06225","CT"
"8834","4620064.00","06225","CT"
"8836","4620065.01","06225","CT"
"8843","4620065.02","06225","CT"
"8847","4620066.01","06225","CT"
"8853","4620066.02","06225","CT"
"8858","4620067.00","06311","CT"
"8862","4620068.00","06311","CT"
"8866","4620069.00","06311","CT"
"8871","4620070.00","06311","CT"
"8875","4620071.00","06314","CT"
"8878","4620072.00","06314","CT"
"8885","4620073.00","06314","CT"
"8888","4620074.00","06314","CT"
"8896","4620075.00","06314","CT"
"8900","4620076.00","06314","CT"
"8904","4620077.00","06311","CT"
"8908","4620078.00","06311","CT"
"8914","4620079.00","06311","CT"
"8923","4620080.00","06311","CT"
"8926","4620081.00","06311","CT"
"8932","4620082.00","06311","CT"
"8935","4620083.00","06311","CT"
"8941","4620084.00","06311","CT"
"8945","4620085.00","06312","CT"
"8948","4620086.00","06312","CT"
"8956","4620087.00","06312","CT"
"8962","4620088.00","06312","CT"
"8969","4620089.00","06312","CT"
"8979","4620090.00","06312","CT"
"8988","4620091.00","06312","CT"
