"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5050022.00",5560.00,4980.00,1115.00,3865.00,580.00,5560.00,3770.00,1770.00,15.00,4580.00,1265.00,1260.00,2060.00,2185.00,945.00,120.00,825.00,190.00,60.00,40.00,4580.00,2655.00,2270.00,380.00,1925.00,5565.00,1265.00,3800.00,495.00,2505.00,855.00,1575.00,75.00,2695.00,545.00,2150.00,0.00
"5050023.01",5815.00,5425.00,795.00,4630.00,390.00,5815.00,4660.00,1040.00,115.00,5135.00,665.00,1385.00,3080.00,2860.00,1670.00,230.00,695.00,155.00,80.00,35.00,5135.00,3305.00,3040.00,270.00,1825.00,5815.00,830.00,3835.00,1150.00,720.00,100.00,585.00,40.00,2695.00,1625.00,1075.00,0.00
"5050023.02",3695.00,3440.00,675.00,2760.00,265.00,3700.00,2230.00,1420.00,50.00,3110.00,460.00,420.00,2230.00,2160.00,1310.00,190.00,500.00,75.00,75.00,0.00,3110.00,2380.00,2250.00,130.00,730.00,3700.00,700.00,2740.00,260.00,375.00,105.00,255.00,15.00,1605.00,1240.00,365.00,0.00
"5050024.00",3030.00,2930.00,580.00,2350.00,100.00,3025.00,2620.00,395.00,0.00,2540.00,390.00,625.00,1525.00,1500.00,900.00,140.00,375.00,70.00,10.00,0.00,2540.00,1705.00,1570.00,135.00,840.00,3030.00,590.00,1930.00,510.00,385.00,120.00,225.00,40.00,1310.00,860.00,450.00,0.00
"5050025.00",4630.00,4370.00,765.00,3610.00,260.00,4630.00,3395.00,1150.00,90.00,3955.00,510.00,825.00,2620.00,2205.00,1395.00,190.00,450.00,115.00,40.00,0.00,3955.00,2525.00,2405.00,125.00,1430.00,4635.00,825.00,2785.00,1020.00,345.00,70.00,215.00,60.00,1950.00,1445.00,495.00,0.00
"5050026.00",5120.00,4655.00,795.00,3860.00,465.00,5120.00,3855.00,1100.00,165.00,4390.00,565.00,1300.00,2520.00,2555.00,1505.00,135.00,675.00,145.00,85.00,0.00,4390.00,2955.00,2670.00,280.00,1435.00,5120.00,900.00,3425.00,790.00,735.00,165.00,530.00,45.00,2180.00,1400.00,785.00,0.00
"5050027.00",3645.00,3445.00,650.00,2800.00,200.00,3645.00,2850.00,775.00,20.00,3040.00,410.00,900.00,1730.00,2005.00,1045.00,205.00,560.00,180.00,0.00,0.00,3040.00,2215.00,2060.00,155.00,835.00,3645.00,715.00,2625.00,300.00,770.00,220.00,475.00,70.00,1685.00,690.00,995.00,0.00
"5050028.00",6755.00,6230.00,1420.00,4810.00,525.00,6755.00,4400.00,2265.00,90.00,5510.00,810.00,1790.00,2910.00,3085.00,1855.00,240.00,830.00,105.00,45.00,20.00,5505.00,3515.00,3215.00,300.00,1990.00,6755.00,1515.00,4275.00,960.00,1155.00,565.00,565.00,0.00,2665.00,1805.00,855.00,0.00
"5050029.00",4840.00,4205.00,915.00,3285.00,640.00,4840.00,3215.00,1530.00,95.00,3950.00,935.00,1155.00,1850.00,1905.00,970.00,85.00,705.00,75.00,60.00,0.00,3945.00,2305.00,1985.00,320.00,1645.00,4845.00,1115.00,3100.00,630.00,1485.00,550.00,895.00,45.00,2255.00,665.00,1590.00,0.00
"5050030.00",6535.00,5905.00,795.00,5110.00,630.00,6535.00,4660.00,1750.00,130.00,5830.00,990.00,1260.00,3585.00,2785.00,1455.00,135.00,965.00,150.00,45.00,30.00,5830.00,3230.00,2935.00,290.00,2605.00,6535.00,885.00,4215.00,1440.00,1410.00,260.00,1010.00,140.00,3605.00,1155.00,2455.00,0.00
