"COL0","COL1","COL2","COL3","COL4"
"24070082",425.00,65.00,270.00,90.00
"24070083",,,,
"24070084",325.00,45.00,230.00,50.00
"24070085",415.00,45.00,285.00,85.00
"24070086",540.00,90.00,335.00,120.00
"24070087",360.00,45.00,240.00,80.00
"24070088",,,,
"24070089",,,,
"24070090",225.00,15.00,170.00,40.00
"24070091",380.00,45.00,240.00,95.00
"24070092",,,,
"24070093",440.00,75.00,260.00,105.00
"24070094",315.00,60.00,190.00,70.00
"24070095",325.00,40.00,210.00,75.00
"2408",21300.00,2730.00,12935.00,5635.00
"24080043",475.00,45.00,275.00,160.00
"24080044",510.00,65.00,310.00,140.00
"24080045",310.00,25.00,175.00,105.00
"24080046",85.00,15.00,50.00,25.00
"24080047",545.00,55.00,335.00,155.00
"24080048",520.00,50.00,330.00,140.00
"24080049",695.00,110.00,415.00,170.00
"24080050",435.00,50.00,280.00,105.00
"24080051",460.00,80.00,300.00,80.00
"24080052",490.00,95.00,310.00,80.00
"24080053",450.00,60.00,290.00,100.00
"24080054",450.00,65.00,250.00,135.00
"24080055",480.00,70.00,310.00,95.00
"24080056",495.00,75.00,305.00,115.00
"24080057",430.00,60.00,255.00,120.00
"24080058",410.00,45.00,260.00,100.00
"24080059",455.00,40.00,205.00,205.00
"24080060",465.00,70.00,295.00,95.00
"24080061",740.00,80.00,520.00,140.00
"24080062",470.00,75.00,295.00,100.00
"24080063",440.00,35.00,170.00,235.00
"24080064",505.00,50.00,305.00,155.00
"24080065",420.00,45.00,260.00,120.00
"24080066",440.00,45.00,255.00,135.00
"24080067",400.00,50.00,275.00,80.00
"24080068",485.00,80.00,280.00,130.00
"24080069",410.00,65.00,265.00,85.00
"24080070",515.00,55.00,350.00,115.00
"24080071",515.00,55.00,320.00,135.00
"24080072",550.00,45.00,355.00,155.00
"24080073",680.00,35.00,290.00,360.00
"24080074",420.00,40.00,240.00,140.00
"24080075",495.00,70.00,300.00,115.00
"24080076",425.00,95.00,280.00,45.00
"24080077",420.00,50.00,285.00,85.00
"24080078",505.00,80.00,325.00,100.00
"24080079",535.00,70.00,340.00,125.00
"24080080",45.00,5.00,30.00,10.00
"24080081",425.00,65.00,260.00,105.00
"24080082",235.00,25.00,135.00,75.00
"24080083",400.00,65.00,235.00,95.00
"24080084",525.00,70.00,330.00,125.00
"24080085",535.00,75.00,315.00,140.00
"24080086",630.00,105.00,350.00,175.00
"24080087",525.00,65.00,355.00,100.00
"24080088",450.00,60.00,275.00,120.00
"2409",18210.00,2855.00,11195.00,4160.00
"24090035",585.00,65.00,365.00,155.00
"24090036",245.00,25.00,170.00,55.00
"24090037",515.00,90.00,320.00,105.00
"24090038",455.00,85.00,300.00,70.00
"24090039",385.00,80.00,230.00,75.00
"24090040",355.00,65.00,220.00,70.00
"24090041",555.00,95.00,310.00,150.00
"24090042",165.00,15.00,100.00,55.00
"24090043",350.00,35.00,205.00,110.00
"24090044",,,,
"24090045",505.00,85.00,295.00,130.00
"24090046",475.00,95.00,285.00,100.00
"24090047",800.00,150.00,515.00,135.00
"24090048",490.00,85.00,280.00,125.00
"24090049",520.00,40.00,285.00,195.00
"24090050",500.00,60.00,320.00,125.00
"24090051",455.00,55.00,295.00,105.00
"24090052",475.00,45.00,260.00,170.00
"24090053",465.00,60.00,305.00,95.00
