"COL0","COL1","COL2","COL3","COL4"
"4620009.00",3475.00,485.00,2560.00,430.00
"4620010.00",1475.00,230.00,1055.00,190.00
"4620011.00",6620.00,905.00,4035.00,1680.00
"4620012.01",2500.00,345.00,1625.00,525.00
"4620012.02",4035.00,550.00,2650.00,835.00
"4620013.00",5170.00,530.00,3265.00,1365.00
"4620014.01",7545.00,940.00,5855.00,745.00
"4620014.02",,,,
"4620015.00",4105.00,590.00,3155.00,360.00
"4620016.00",2535.00,315.00,1825.00,395.00
"4620017.00",2140.00,290.00,1630.00,220.00
"4620018.00",2005.00,240.00,1580.00,180.00
"4620019.00",2340.00,275.00,1695.00,370.00
"4620021.00",2890.00,385.00,2270.00,235.00
"4620022.00",1550.00,150.00,1260.00,135.00
"4620023.00",1280.00,145.00,1030.00,110.00
"4620024.00",2650.00,255.00,2110.00,280.00
"4620025.00",3015.00,335.00,2325.00,355.00
"4620026.00",2580.00,265.00,2050.00,270.00
"4620027.00",1650.00,165.00,1345.00,145.00
"4620028.00",2080.00,225.00,1705.00,150.00
"4620029.00",3680.00,340.00,2890.00,445.00
"4620030.00",3130.00,315.00,2500.00,315.00
"4620031.00",2660.00,235.00,2145.00,280.00
"4620032.00",1605.00,150.00,1360.00,100.00
"4620033.00",1735.00,150.00,1400.00,185.00
"4620034.00",2560.00,270.00,2055.00,240.00
"4620035.00",2000.00,225.00,1605.00,170.00
"4620036.00",2075.00,195.00,1740.00,135.00
"4620037.00",3335.00,255.00,2295.00,780.00
"4620038.00",1915.00,265.00,1470.00,185.00
"4620039.00",2365.00,165.00,1785.00,410.00
"4620040.00",,,,
"4620041.00",1680.00,100.00,1425.00,155.00
"4620042.00",945.00,25.00,800.00,120.00
"4620043.00",1015.00,55.00,880.00,80.00
"4620044.00",2050.00,130.00,1725.00,195.00
"4620045.00",1400.00,70.00,1100.00,230.00
"4620046.00",1995.00,210.00,1650.00,135.00
"4620047.00",740.00,70.00,645.00,30.00
"4620048.00",2215.00,215.00,1890.00,110.00
