"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"4210011.00",1030.00,320.00,200.00,115.00,5.00,705.00,605.00,105.00,1605.00,1520.00,90.00,1430.00,85.00,1605.00,1465.00,125.00,10.00,985.00,145.00,845.00,0.00,990.00,715.00,280.00
"4210012.00",1370.00,475.00,245.00,230.00,0.00,895.00,775.00,125.00,2355.00,2145.00,310.00,1835.00,210.00,2355.00,2055.00,245.00,55.00,1360.00,300.00,1055.00,0.00,1360.00,1000.00,360.00
"4210013.00",840.00,315.00,150.00,165.00,0.00,520.00,460.00,65.00,1415.00,1355.00,245.00,1115.00,55.00,1415.00,1240.00,160.00,15.00,850.00,190.00,660.00,0.00,850.00,650.00,200.00
"4210014.00",1360.00,365.00,210.00,150.00,0.00,1000.00,890.00,110.00,2030.00,1875.00,170.00,1705.00,155.00,2030.00,1765.00,185.00,85.00,1360.00,265.00,1090.00,0.00,1365.00,860.00,505.00
"4210015.00",2620.00,920.00,615.00,300.00,0.00,1705.00,1630.00,75.00,4020.00,3840.00,370.00,3465.00,180.00,4020.00,3570.00,385.00,65.00,2595.00,810.00,1785.00,0.00,2585.00,1855.00,725.00
"4210016.00",1465.00,440.00,295.00,145.00,0.00,1025.00,960.00,65.00,2145.00,1985.00,155.00,1830.00,160.00,2150.00,1835.00,225.00,85.00,1470.00,425.00,1040.00,0.00,1465.00,955.00,505.00
"4210017.00",40.00,15.00,5.00,5.00,0.00,30.00,30.00,0.00,85.00,85.00,0.00,80.00,0.00,85.00,75.00,10.00,0.00,50.00,40.00,10.00,0.00,,,
"4210018.00",730.00,215.00,145.00,70.00,0.00,515.00,445.00,70.00,1135.00,995.00,90.00,905.00,135.00,1135.00,940.00,95.00,100.00,725.00,165.00,565.00,0.00,725.00,460.00,270.00
"4210019.00",1720.00,485.00,290.00,195.00,0.00,1225.00,1095.00,135.00,2625.00,2310.00,220.00,2095.00,310.00,2625.00,2205.00,235.00,185.00,1720.00,365.00,1355.00,0.00,1715.00,1085.00,630.00
"4210020.00",2065.00,645.00,370.00,275.00,0.00,1415.00,1280.00,135.00,3255.00,2815.00,265.00,2545.00,440.00,3255.00,2575.00,575.00,100.00,2045.00,500.00,1540.00,0.00,2040.00,1440.00,600.00
"4210021.00",1090.00,335.00,210.00,125.00,0.00,755.00,660.00,90.00,1660.00,1515.00,125.00,1395.00,140.00,1660.00,1430.00,185.00,45.00,1060.00,180.00,880.00,0.00,1060.00,725.00,335.00
"4210022.00",1555.00,400.00,230.00,170.00,0.00,1150.00,1060.00,90.00,2265.00,2100.00,175.00,1925.00,165.00,2270.00,1980.00,250.00,40.00,1605.00,390.00,1215.00,0.00,1605.00,1165.00,440.00
"4210023.00",305.00,130.00,65.00,65.00,0.00,175.00,155.00,20.00,520.00,485.00,80.00,405.00,35.00,520.00,450.00,65.00,10.00,300.00,80.00,215.00,0.00,300.00,245.00,60.00
"4210024.00",645.00,195.00,155.00,40.00,0.00,455.00,430.00,15.00,890.00,850.00,15.00,835.00,40.00,890.00,800.00,75.00,15.00,645.00,305.00,345.00,0.00,645.00,460.00,185.00
"4210025.00",490.00,185.00,155.00,30.00,0.00,305.00,295.00,5.00,700.00,640.00,30.00,615.00,60.00,695.00,605.00,85.00,10.00,465.00,190.00,275.00,0.00,465.00,355.00,110.00
"4210026.00",2775.00,1045.00,510.00,540.00,0.00,1730.00,1540.00,190.00,4635.00,4360.00,600.00,3760.00,275.00,4630.00,4050.00,535.00,50.00,2740.00,595.00,2140.00,0.00,2740.00,1900.00,840.00
"4210027.00",1220.00,495.00,280.00,220.00,0.00,720.00,635.00,90.00,1970.00,1890.00,285.00,1605.00,80.00,1970.00,1845.00,90.00,30.00,1170.00,335.00,835.00,0.00,1175.00,860.00,310.00
"4210028.00",1015.00,350.00,200.00,145.00,10.00,660.00,580.00,80.00,1755.00,1665.00,160.00,1510.00,90.00,1760.00,1570.00,155.00,35.00,1055.00,230.00,820.00,0.00,1055.00,775.00,275.00
"4210029.00",1345.00,480.00,230.00,245.00,0.00,860.00,760.00,100.00,2280.00,2190.00,315.00,1880.00,90.00,2280.00,2125.00,110.00,40.00,1390.00,320.00,1070.00,0.00,1390.00,985.00,405.00
"4210030.00",1765.00,705.00,350.00,350.00,0.00,1060.00,945.00,115.00,3000.00,2870.00,445.00,2425.00,130.00,3000.00,2790.00,180.00,25.00,1725.00,440.00,1285.00,0.00,1725.00,1295.00,425.00
"4210031.00",1455.00,535.00,210.00,325.00,10.00,915.00,840.00,75.00,2580.00,2415.00,360.00,2055.00,160.00,2575.00,2230.00,330.00,15.00,1525.00,285.00,1240.00,0.00,1520.00,1035.00,480.00
"4210032.00",790.00,350.00,295.00,60.00,0.00,430.00,425.00,10.00,1240.00,1215.00,40.00,1170.00,25.00,1235.00,1145.00,85.00,0.00,785.00,555.00,225.00,0.00,785.00,605.00,180.00
"4210033.01",2070.00,785.00,390.00,390.00,5.00,1285.00,1120.00,160.00,3475.00,3230.00,355.00,2875.00,245.00,3475.00,3055.00,400.00,25.00,2070.00,255.00,1815.00,0.00,2070.00,1495.00,580.00
"4210033.02",1860.00,850.00,445.00,400.00,5.00,1000.00,865.00,140.00,3365.00,3075.00,360.00,2720.00,290.00,3360.00,2915.00,420.00,25.00,1860.00,440.00,1420.00,0.00,1860.00,1320.00,540.00
"4210034.00",2550.00,1070.00,560.00,500.00,5.00,1475.00,1315.00,160.00,4480.00,4155.00,515.00,3635.00,325.00,4480.00,4005.00,420.00,50.00,2545.00,470.00,2075.00,0.00,2545.00,1785.00,755.00
"4210035.00",1125.00,385.00,185.00,195.00,0.00,740.00,660.00,80.00,1770.00,1670.00,165.00,1500.00,95.00,1765.00,1610.00,140.00,20.00,1105.00,195.00,910.00,0.00,1105.00,780.00,320.00
