"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"4210260.03",4015.00,680.00,2665.00,820.00,220.00,485.00,115.00
"4210270.01",4225.00,510.00,2785.00,780.00,100.00,480.00,200.00
"4210270.03",4375.00,490.00,2505.00,800.00,110.00,360.00,325.00
"4210270.04",2795.00,430.00,1875.00,455.00,75.00,305.00,75.00
"4210271.01",3880.00,670.00,2140.00,285.00,60.00,155.00,80.00
"4210271.02",3830.00,605.00,2355.00,350.00,45.00,205.00,95.00
"4210272.00",1420.00,235.00,830.00,115.00,20.00,50.00,40.00
"4210273.01",4490.00,445.00,2745.00,565.00,55.00,310.00,205.00
"4210273.02",3035.00,685.00,1735.00,130.00,30.00,75.00,25.00
"4210273.03",3390.00,595.00,1995.00,165.00,15.00,85.00,70.00
"4210273.04",4140.00,680.00,2360.00,295.00,45.00,145.00,105.00
"4210280.01",4105.00,770.00,2420.00,410.00,115.00,235.00,65.00
"4210280.02",4475.00,835.00,2745.00,395.00,85.00,220.00,90.00
"4210280.03",5570.00,1000.00,3330.00,540.00,95.00,310.00,135.00
"4210290.01",3810.00,710.00,2505.00,260.00,55.00,150.00,55.00
"4210290.03",2340.00,495.00,1470.00,140.00,30.00,85.00,25.00
"4210290.04",7675.00,1635.00,4470.00,535.00,115.00,200.00,220.00
"4210300.00",2460.00,305.00,1060.00,285.00,40.00,90.00,160.00
"4210310.00",1945.00,270.00,1235.00,430.00,65.00,260.00,105.00
"4210311.01",6565.00,740.00,4080.00,1140.00,130.00,600.00,405.00
"4210311.02",2655.00,350.00,1495.00,480.00,80.00,260.00,140.00
"4210320.01",9710.00,1550.00,6025.00,1290.00,275.00,750.00,265.00
"4210320.02",4845.00,825.00,2900.00,605.00,85.00,325.00,190.00
"4210320.03",3695.00,775.00,2495.00,160.00,50.00,75.00,35.00
"4210320.04",3125.00,515.00,1895.00,310.00,55.00,165.00,90.00
"4210320.05",3275.00,625.00,2310.00,115.00,20.00,65.00,30.00
"4210320.07",4335.00,915.00,2795.00,140.00,30.00,65.00,45.00
"4210320.08",7320.00,1620.00,5000.00,220.00,55.00,125.00,45.00
"4210330.00",2175.00,270.00,1375.00,490.00,55.00,275.00,170.00
"4210340.01",1875.00,325.00,1140.00,185.00,40.00,100.00,45.00
"4210340.02",4330.00,740.00,2810.00,470.00,60.00,220.00,190.00
