"COL0","COL1","COL2"
"24140056",3.50,0.00
"24140057",2.50,0.00
"24140058",4.90,0.00
"24140059",2.20,6.30
"24140060",7.10,0.00
"24140061",2.90,8.30
"24140062",4.90,5.30
"24140063",2.50,0.00
"24140064",2.90,0.00
"24140065",,
"24140066",4.60,6.70
"24140067",1.40,0.00
"24140068",3.30,0.00
"24140069",1.00,0.00
"24140070",3.30,5.00
"24140071",0.90,0.00
"24140072",1.30,0.00
"24140073",4.20,5.60
"24140074",1.60,0.00
"24140075",1.70,0.00
"24140076",2.60,7.70
"24140077",2.90,0.00
"24140078",1.30,0.00
"24140079",0.90,0.00
"24140080",6.00,0.00
"24140081",6.00,7.70
"24140082",3.30,0.00
"24140083",14.50,14.30
"24140084",12.60,7.10
"24140085",16.10,0.00
"24140086",2.50,4.30
"24140087",3.80,0.00
"24140088",3.60,0.00
"24140089",1.40,0.00
"24140090",1.50,0.00
"24140091",3.60,5.00
"24140092",2.40,0.00
"24140093",,
"24140094",,
"2415",3.30,2.00
"24150028",,
"24150029",4.40,0.00
"24150030",3.00,5.60
"24150031",3.20,0.00
"24150032",2.80,8.30
"24150033",1.50,0.00
"24150034",1.40,0.00
"24150035",1.20,0.00
"24150036",1.80,0.00
"24150037",0.80,0.00
"24150038",4.50,5.90
"24150039",8.90,10.00
"24150040",2.90,5.60
"24150041",10.20,20.00
"24150042",7.90,14.30
"24150043",7.00,0.00
"24150044",2.20,0.00
"24150045",1.60,0.00
"24150046",2.00,0.00
"24150047",2.90,0.00
"24150048",1.60,0.00
"24150049",2.50,4.50
"24150050",1.20,0.00
"24150051",3.90,0.00
"24150052",6.90,0.00
"24150053",6.80,7.70
"24150054",3.40,7.70
"24150055",2.20,5.00
"24150056",1.30,0.00
"24150057",,
"24150058",,
"24150059",2.00,0.00
"24150060",5.10,5.60
"24150061",0.00,6.30
"2416",2.80,1.20
"24160029",1.10,0.00
"24160030",2.30,0.00
"24160031",2.00,0.00
"24160032",3.50,6.30
"24160033",2.30,0.00
"24160034",0.80,0.00
"24160035",,
"24160036",4.30,0.00
"24160037",2.80,0.00
"24160038",9.50,11.10
"24160039",3.60,0.00
"24160040",2.50,0.00
"24160041",5.20,0.00
"24160042",1.70,0.00
"24160043",5.00,0.00
"24160044",1.70,0.00
"24160045",3.40,0.00
"24160046",2.10,0.00
"24160047",1.30,10.00
"24160048",1.30,0.00
"24160049",1.50,0.00
"24160050",1.30,4.00
"24160051",4.10,14.30
"24160052",3.60,6.70
"2417",3.10,2.70
"24170032",1.10,0.00
"24170033",3.20,5.90
"24170034",3.40,7.10
"24170035",3.30,3.00
"24170036",4.80,0.00
"24170037",4.30,0.00
"24170038",3.40,12.50
"24170039",0.00,0.00
"24170040",3.80,3.30
"24170041",2.60,4.30
"24170042",2.40,7.70
"24170043",1.00,0.00
"24170044",1.80,4.30
"24170045",3.20,0.00
"24170046",5.80,0.00
"24170047",3.80,3.60
"24170048",1.20,0.00
"24170049",2.10,4.50
"24170050",3.60,6.70
"24170051",3.00,0.00
"24170052",6.10,5.00
"24170053",2.80,10.00
"24170054",2.70,0.00
"24170055",3.80,0.00
"24170056",1.10,0.00
"24170057",5.30,7.70
"24170058",3.30,0.00
"24170059",2.50,0.00
"24170060",1.10,5.90
"24170061",4.30,0.00
"24170062",3.00,10.00
"24170063",2.70,0.00
"24170064",5.40,0.00
"24170065",3.00,0.00
"24170066",3.50,7.70
"2418",4.40,2.00
"24180039",,
"24180040",2.00,0.00
"24180041",3.20,0.00
"24180042",4.30,0.00
"24180043",0.00,0.00
"24180044",1.80,0.00
"24180045",7.60,11.10
"24180046",2.40,0.00
"24180047",0.80,0.00
"24180048",4.60,3.40
"24180049",7.00,0.00
"24180050",5.70,5.00
"24180051",2.50,0.00
"24180052",1.10,0.00
"24180053",2.90,7.70
"24180054",2.20,0.00
"24180055",4.70,0.00
"24180056",5.00,7.10
"24180057",8.20,7.10
"24180058",8.10,0.00
"24180059",5.30,0.00
"24180060",14.60,9.10
"24180061",12.00,16.70
"24180062",14.90,0.00
"24180063",5.00,0.00
"24180064",4.90,0.00
"24180065",6.90,14.30
"24180066",2.40,0.00
"24180067",2.10,0.00
"24180068",4.70,4.20
"24180069",3.10,0.00
"24180070",2.30,0.00
"24180071",3.80,0.00
"24180072",1.90,0.00
"24180073",1.00,0.00
"24180074",4.70,0.00
"24180075",3.80,0.00
"24180076",1.60,0.00
"24180077",3.80,9.10
"24180078",2.70,0.00
"24180079",2.80,0.00
"24180080",2.20,0.00
"24180081",5.40,12.50
"24180082",5.20,0.00
"24180083",,
"24180084",7.50,11.10
"24180085",7.90,12.50
"24180086",9.00,0.00
"2419",2.50,1.70
"24190046",4.50,5.00
"24190047",3.00,4.50
"24190048",2.30,0.00
"24190049",2.90,0.00
"24190050",1.20,0.00
"24190051",1.80,2.60
"24190052",0.00,0.00
"24190053",1.10,0.00
"24190054",0.00,0.00
"24190055",0.60,0.00
"24190056",2.00,0.00
"24190057",0.80,0.00
"24190058",2.30,0.00
"24190059",0.00,0.00
"24190060",4.90,17.60
"24190061",1.70,0.00
"24190062",1.30,0.00
"24190063",1.40,0.00
"24190064",3.30,0.00
"24190065",2.10,0.00
"24190066",0.90,0.00
"24190067",3.30,0.00
"24190068",2.60,0.00
"24190069",3.60,0.00
"24190070",0.60,0.00
"24190071",2.50,5.90
"24190072",3.90,5.90
"24190073",3.80,5.60
"24190074",2.90,3.60
"24190075",1.70,1.50
"24190076",0.90,0.00
"24190077",6.10,10.50
"24190078",1.30,0.00
"24190079",2.00,0.00
"24190080",2.30,0.00
"24190081",2.90,4.50
"24190082",1.40,0.00
"24190083",0.60,1.00
"24190084",4.10,0.00
"24190085",1.00,0.00
"24190086",1.10,0.00
"24190087",2.00,0.00
"24190088",2.90,0.00
"24190089",2.00,0.00
"24190090",5.40,0.00
"24190091",9.90,14.30
"24190092",,
"24190093",1.40,0.00
"24190094",3.80,0.00
"24190095",2.60,0.00
"24190096",4.70,0.00
"24190097",4.10,5.90
"24190098",5.30,0.00
"24190099",3.30,0.00
"24190100",1.40,0.00
"24190101",5.10,6.70
"24190102",4.00,4.50
"24190103",6.10,5.30
"24190104",3.40,0.00
"24190105",2.10,0.00
"24190106",2.00,3.40
"24190107",3.10,0.00
"24190108",4.70,0.00
"2420",1.70,1.70
"24200011",1.90,6.30
"24200012",1.10,0.00
"24200013",,
"24200014",2.40,0.00
"24200015",1.00,0.00
"24200016",0.90,0.00
"24200017",1.90,2.60
"24200018",4.30,11.10
"24200019",1.10,2.90
"24200020",0.00,0.00
"24200021",2.80,5.60
"2421",2.70,1.70
"24210038",,
"24210039",2.90,5.60
"24210040",,
"24210041",3.80,0.00
"24210042",5.50,5.00
