"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5939804",,,,,,,,,,65.00,25.00,10.00,30.00,60.00,30.00,25.00,0.00,30.00,30.00,25.00,0.00,0.00,0.00,0.00,0.00,35.00,30.00,0.00,0.00,,,,,,,,
"5939805",,,,,,,,,,185.00,60.00,45.00,85.00,185.00,105.00,85.00,20.00,85.00,85.00,70.00,0.00,0.00,10.00,0.00,0.00,95.00,60.00,15.00,25.00,,,,,,,,
"5939806",,,,,,,,,,30.00,10.00,15.00,10.00,30.00,15.00,10.00,0.00,20.00,15.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,0.00,,,,,,,,
"5939808",,,,,,,,,,65.00,25.00,15.00,20.00,65.00,40.00,30.00,10.00,25.00,25.00,15.00,10.00,0.00,0.00,0.00,0.00,25.00,15.00,0.00,0.00,,,,,,,,
"5939811",,,,,,,,,,90.00,25.00,30.00,35.00,95.00,55.00,30.00,20.00,40.00,30.00,25.00,10.00,0.00,0.00,0.00,0.00,45.00,35.00,10.00,0.00,,,,,,,,
"5941009",10605.00,10375.00,2430.00,7945.00,225.00,10605.00,9540.00,1055.00,0.00,8620.00,1990.00,3095.00,3535.00,8625.00,5620.00,5055.00,565.00,3005.00,4845.00,3655.00,550.00,155.00,340.00,65.00,80.00,4530.00,2855.00,1675.00,0.00,10600.00,2450.00,6685.00,1470.00,1820.00,540.00,1075.00,205.00
"5941010",3055.00,3015.00,695.00,2320.00,35.00,3055.00,2875.00,165.00,0.00,2510.00,680.00,555.00,1280.00,2510.00,1885.00,1635.00,255.00,620.00,1460.00,1185.00,125.00,90.00,25.00,0.00,35.00,1235.00,1105.00,130.00,0.00,3055.00,695.00,2055.00,305.00,190.00,30.00,140.00,25.00
"5941012",4125.00,4065.00,805.00,3265.00,55.00,4125.00,3885.00,235.00,0.00,3470.00,855.00,1010.00,1605.00,3470.00,2425.00,2155.00,265.00,1050.00,2030.00,1810.00,100.00,55.00,40.00,0.00,20.00,1680.00,1570.00,115.00,0.00,4125.00,805.00,2785.00,530.00,610.00,175.00,365.00,65.00
"5941013",9830.00,9625.00,2195.00,7435.00,205.00,9830.00,8785.00,1030.00,15.00,8025.00,2310.00,2485.00,3240.00,8025.00,4915.00,4260.00,660.00,3110.00,4050.00,3235.00,300.00,70.00,370.00,45.00,25.00,4325.00,2790.00,1535.00,0.00,9830.00,2205.00,6110.00,1510.00,2230.00,690.00,1295.00,245.00
"5941014",4550.00,4470.00,860.00,3610.00,85.00,4555.00,4035.00,525.00,0.00,3840.00,765.00,1255.00,1825.00,3845.00,2465.00,2275.00,190.00,1375.00,1915.00,1505.00,130.00,100.00,120.00,0.00,55.00,1900.00,1745.00,160.00,0.00,4555.00,870.00,2980.00,700.00,635.00,135.00,390.00,110.00
