"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex"
"370","4181","5-9","2230","Male"
"371","4182","5-9","695","Male"
"372","5111","5-9","1525","Male"
"373","5121","5-9","3085","Male"
"374","5131","5-9","1325","Male"
"375","5141","5-9","595","Male"
"376","5151","5-9","4625","Male"
"377","5161","5-9","980","Male"
"378","5171","5-9","445","Male"
"379","5181","5-9","705","Male"
"380","5191","5-9","620","Male"
"381","6111","5-9","2215","Male"
"382","6112","5-9","2720","Male"
"383","6113","5-9","1400","Male"
"384","6121","5-9","1690","Male"
"385","6122","5-9","2150","Male"
"386","6211","5-9","1555","Male"
"387","6212","5-9","2170","Male"
"388","6221","5-9","845","Male"
"389","6222","5-9","1815","Male"
"390","6223","5-9","1030","Male"
"391","6224","5-9","1370","Male"
"392","6225","5-9","915","Male"
"393","6311","5-9","710","Male"
"394","6312","5-9","835","Male"
"395","6313","5-9","1735","Male"
"396","6314","5-9","370","Male"
"397","6321","5-9","805","Male"
"398","6322","5-9","1045","Male"
"399","6323","5-9","510","Male"
"400","6324","5-9","125","Male"
"401","6411","5-9","1945","Male"
"402","6412","5-9","3425","Male"
"403","6421","5-9","2240","Male"
"404","6422","5-9","2750","Male"
"405","6431","5-9","1510","Male"
"406","6432","5-9","970","Male"
"407","6511","5-9","1970","Male"
"408","6512","5-9","2740","Male"
"409","6521","5-9","1740","Male"
"410","6522","5-9","1305","Male"
"411","6523","5-9","1360","Male"
"412","6524","5-9","1190","Male"
"413","6531","5-9","2235","Male"
"414","6532","5-9","1055","Male"
"415","6533","5-9","880","Male"
"416","7111","5-9","525","Male"
"417","7121","5-9","435","Male"
"418","7131","5-9","1320","Male"
"419","7141","5-9","2870","Male"
"420","7142","5-9","1725","Male"
"421","7143","5-9","3655","Male"
"422","7151","5-9","1310","Male"
"423","7152","5-9","375","Male"
"424","8111","5-9","640","Male"
"425","8121","5-9","730","Male"
"426","8131","5-9","1255","Male"
"427","8141","5-9","1445","Male"
"428","8151","5-9","390","Male"
"429","8152","5-9","100","Male"
"430","9111","5-9","125","Male"
"431","9121","5-9","145","Male"
"432","9122","5-9","105","Male"
"433","9123","5-9","760","Male"
"434","9131","5-9","240","Male"
"435","9141","5-9","950","Male"
"436","9151","5-9","225","Male"
"437","9161","5-9","160","Male"
"438","9171","5-9","35","Male"
"439","10011","5-9","35","Male"
"440","10012","5-9","40","Male"
"441","10013","5-9","90","Male"
"442","10014","5-9","270","Male"
"443","11111","5-9","390","Male"
"444","11112","5-9","395","Male"
"445","11121","5-9","230","Male"
"446","11131","5-9","35","Male"
"447","11132","5-9","370","Male"
"448","11133","5-9","15","Male"
"449","11141","5-9","365","Male"
"450","11211","5-9","230","Male"
"451","12111","5-9","1050","Male"
"452","12112","5-9","3305","Male"
"453","12113","5-9","1500","Male"
"454","12114","5-9","1110","Male"
"455","12115","5-9","1045","Male"
"456","12121","5-9","1095","Male"
"457","12131","5-9","645","Male"
"458","12132","5-9","1695","Male"
"459","12141","5-9","425","Male"
"460","12151","5-9","530","Male"
"461","12152","5-9","440","Male"
"462","13111","5-9","5025","Male"
"463","13112","5-9","2000","Male"
"464","13113","5-9","2380","Male"
"465","13114","5-9","4095","Male"
"466","14111","5-9","1160","Male"
"467","14112","5-9","1785","Male"
"468","14113","5-9","1870","Male"
"469","14114","5-9","1145","Male"
"470","14121","5-9","6030","Male"
"471","14122","5-9","4075","Male"
"472","15111","5-9","750","Male"
"473","15121","5-9","1105","Male"
"474","15131","5-9","795","Male"
"475","15141","5-9","855","Male"
"476","15151","5-9","4100","Male"
"477","15161","5-9","5250","Male"
"478","15171","5-9","5000","Male"
"479","16111","5-9","3690","Male"
"480","16112","5-9","2475","Male"
"481","16121","5-9","2525","Male"
"482","16122","5-9","3595","Male"
"483","16211","5-9","1620","Male"
"484","16212","5-9","2005","Male"
"485","16213","5-9","3935","Male"
"486","16221","5-9","3790","Male"
"487","16222","5-9","2585","Male"
"488","16223","5-9","490","Male"
"489","16231","5-9","1155","Male"
"490","16311","5-9","5370","Male"
"491","16321","5-9","1425","Male"
"492","16331","5-9","605","Male"
"493","16341","5-9","2410","Male"
"494","16342","5-9","3840","Male"
"495","16343","5-9","870","Male"
"496","17011","5-9","480","Male"
"497","17012","5-9","285","Male"
"498","18011","5-9","1010","Male"
"499","1111","10-14","545","Male"
"500","1121","10-14","825","Male"
"501","1131","10-14","520","Male"
"502","1141","10-14","190","Male"
"503","1151","10-14","1305","Male"
"504","1161","10-14","450","Male"
"505","1171","10-14","460","Male"
"506","1181","10-14","415","Male"
"507","2111","10-14","755","Male"
"508","2121","10-14","650","Male"
"509","2131","10-14","1355","Male"
"510","2141","10-14","1635","Male"
"511","2151","10-14","1920","Male"
"512","2161","10-14","550","Male"
"513","3111","10-14","1185","Male"
"514","3121","10-14","1795","Male"
"515","3122","10-14","1060","Male"
"516","3123","10-14","1495","Male"
"517","3124","10-14","380","Male"
"518","3125","10-14","285","Male"
"519","3126","10-14","925","Male"
"520","3131","10-14","3190","Male"
"521","3132","10-14","2730","Male"
"522","3133","10-14","2110","Male"
"523","3134","10-14","840","Male"
"524","3141","10-14","275","Male"
"525","3142","10-14","340","Male"
"526","4111","10-14","465","Male"
"527","4121","10-14","265","Male"
"528","4122","10-14","285","Male"
"529","4131","10-14","490","Male"
"530","4141","10-14","1345","Male"
"531","4151","10-14","2085","Male"
"532","4152","10-14","1150","Male"
"533","4161","10-14","545","Male"
"534","4162","10-14","515","Male"
"535","4171","10-14","2940","Male"
"536","4181","10-14","1910","Male"
"537","4182","10-14","615","Male"
"538","5111","10-14","1420","Male"
"539","5121","10-14","2780","Male"
"540","5131","10-14","1220","Male"
"541","5141","10-14","610","Male"
"542","5151","10-14","4280","Male"
"543","5161","10-14","925","Male"
"544","5171","10-14","395","Male"
"545","5181","10-14","630","Male"
"546","5191","10-14","605","Male"
"547","6111","10-14","2575","Male"
"548","6112","10-14","2825","Male"
"549","6113","10-14","1570","Male"
"550","6121","10-14","1545","Male"
"551","6122","10-14","1920","Male"
"552","6211","10-14","1375","Male"
"553","6212","10-14","1825","Male"
"554","6221","10-14","680","Male"
"555","6222","10-14","1755","Male"
"556","6223","10-14","1000","Male"
"557","6224","10-14","1145","Male"
"558","6225","10-14","850","Male"
"559","6311","10-14","655","Male"
"560","6312","10-14","575","Male"
"561","6313","10-14","1235","Male"
"562","6314","10-14","280","Male"
"563","6321","10-14","665","Male"
"564","6322","10-14","755","Male"
"565","6323","10-14","415","Male"
"566","6324","10-14","120","Male"
"567","6411","10-14","1505","Male"
"568","6412","10-14","2900","Male"
"569","6421","10-14","1755","Male"
"570","6422","10-14","2260","Male"
"571","6431","10-14","1135","Male"
"572","6432","10-14","695","Male"
"573","6511","10-14","1620","Male"
"574","6512","10-14","2025","Male"
"575","6521","10-14","1710","Male"
"576","6522","10-14","1135","Male"
"577","6523","10-14","1165","Male"
"578","6524","10-14","1005","Male"
"579","6531","10-14","1760","Male"
"580","6532","10-14","835","Male"
"581","6533","10-14","740","Male"
"582","7111","10-14","560","Male"
"583","7121","10-14","480","Male"
"584","7131","10-14","1255","Male"
"585","7141","10-14","2295","Male"
"586","7142","10-14","1625","Male"
"587","7143","10-14","3285","Male"
"588","7151","10-14","1160","Male"
"589","7152","10-14","325","Male"
"590","8111","10-14","575","Male"
"591","8121","10-14","705","Male"
"592","8131","10-14","1105","Male"
"593","8141","10-14","1235","Male"
"594","8151","10-14","360","Male"
"595","8152","10-14","90","Male"
"596","9111","10-14","105","Male"
"597","9121","10-14","135","Male"
"598","9122","10-14","100","Male"
"599","9123","10-14","825","Male"
"600","9131","10-14","210","Male"
"601","9141","10-14","850","Male"
"602","9151","10-14","185","Male"
"603","9161","10-14","130","Male"
"604","9171","10-14","30","Male"
"605","10011","10-14","40","Male"
"606","10012","10-14","55","Male"
"607","10013","10-14","55","Male"
"608","10014","10-14","265","Male"
"609","11111","10-14","350","Male"
"610","11112","10-14","380","Male"
"611","11121","10-14","215","Male"
"612","11131","10-14","45","Male"
"613","11132","10-14","350","Male"
"614","11133","10-14","20","Male"
"615","11141","10-14","330","Male"
"616","11211","10-14","260","Male"
"617","12111","10-14","815","Male"
"618","12112","10-14","2965","Male"
"619","12113","10-14","1250","Male"
"620","12114","10-14","910","Male"
"621","12115","10-14","760","Male"
"622","12121","10-14","990","Male"
"623","12131","10-14","605","Male"
"624","12132","10-14","1450","Male"
"625","12141","10-14","425","Male"
"626","12151","10-14","575","Male"
"627","12152","10-14","420","Male"
"628","13111","10-14","4655","Male"
"629","13112","10-14","1885","Male"
"630","13113","10-14","2090","Male"
"631","13114","10-14","3910","Male"
"632","14111","10-14","1085","Male"
"633","14112","10-14","1450","Male"
"634","14113","10-14","1505","Male"
"635","14114","10-14","990","Male"
"636","14121","10-14","5345","Male"
"637","14122","10-14","3515","Male"
"638","15111","10-14","825","Male"
"639","15121","10-14","1075","Male"
"640","15131","10-14","825","Male"
"641","15141","10-14","800","Male"
"642","15151","10-14","3535","Male"
"643","15161","10-14","4580","Male"
"644","15171","10-14","5245","Male"
"645","16111","10-14","3380","Male"
"646","16112","10-14","2280","Male"
"647","16121","10-14","2110","Male"
"648","16122","10-14","3055","Male"
"649","16211","10-14","1255","Male"
"650","16212","10-14","1730","Male"
"651","16213","10-14","3855","Male"
"652","16221","10-14","3520","Male"
"653","16222","10-14","2265","Male"
"654","16223","10-14","465","Male"
"655","16231","10-14","1110","Male"
"656","16311","10-14","5035","Male"
"657","16321","10-14","1330","Male"
"658","16331","10-14","560","Male"
"659","16341","10-14","2185","Male"
"660","16342","10-14","3645","Male"
"661","16343","10-14","830","Male"
"662","17011","10-14","440","Male"
"663","17012","10-14","275","Male"
"664","18011","10-14","955","Male"
"665","1111","15-19","550","Male"
"666","1121","15-19","855","Male"
"667","1131","15-19","490","Male"
"668","1141","15-19","170","Male"
"669","1151","15-19","1415","Male"
"670","1161","15-19","445","Male"
"671","1171","15-19","490","Male"
"672","1181","15-19","440","Male"
"673","2111","15-19","865","Male"
"674","2121","15-19","610","Male"
"675","2131","15-19","1330","Male"
"676","2141","15-19","1740","Male"
"677","2151","15-19","1990","Male"
"678","2161","15-19","470","Male"
"679","3111","15-19","1175","Male"
"680","3121","15-19","1935","Male"
"681","3122","15-19","1045","Male"
"682","3123","15-19","1820","Male"
"683","3124","15-19","455","Male"
"684","3125","15-19","360","Male"
"685","3126","15-19","1015","Male"
"686","3131","15-19","2915","Male"
"687","3132","15-19","2645","Male"
"688","3133","15-19","2250","Male"
"689","3134","15-19","815","Male"
"690","3141","15-19","255","Male"
"691","3142","15-19","360","Male"
"692","4111","15-19","435","Male"
"693","4121","15-19","235","Male"
"694","4122","15-19","285","Male"
"695","4131","15-19","495","Male"
"696","4141","15-19","1450","Male"
"697","4151","15-19","2230","Male"
"698","4152","15-19","1195","Male"
"699","4161","15-19","620","Male"
"700","4162","15-19","525","Male"
"701","4171","15-19","2885","Male"
"702","4181","15-19","1945","Male"
"703","4182","15-19","645","Male"
"704","5111","15-19","1360","Male"
"705","5121","15-19","2760","Male"
"706","5131","15-19","1240","Male"
"707","5141","15-19","555","Male"
"708","5151","15-19","4725","Male"
"709","5161","15-19","770","Male"
"710","5171","15-19","355","Male"
"711","5181","15-19","590","Male"
"712","5191","15-19","565","Male"
"713","6111","15-19","3060","Male"
"714","6112","15-19","3140","Male"
"715","6113","15-19","1775","Male"
"716","6121","15-19","1685","Male"
"717","6122","15-19","1995","Male"
"718","6211","15-19","1370","Male"
"719","6212","15-19","1945","Male"
"720","6221","15-19","765","Male"
"721","6222","15-19","1635","Male"
"722","6223","15-19","1105","Male"
"723","6224","15-19","1525","Male"
"724","6225","15-19","1660","Male"
"725","6311","15-19","735","Male"
"726","6312","15-19","630","Male"
"727","6313","15-19","1100","Male"
"728","6314","15-19","290","Male"
"729","6321","15-19","840","Male"
"730","6322","15-19","710","Male"
"731","6323","15-19","430","Male"
"732","6324","15-19","285","Male"
"733","6411","15-19","1395","Male"
"734","6412","15-19","2790","Male"
"735","6421","15-19","1910","Male"
"736","6422","15-19","2440","Male"
"737","6431","15-19","1095","Male"
"738","6432","15-19","645","Male"
"739","6511","15-19","1615","Male"
"740","6512","15-19","2020","Male"
"741","6521","15-19","1900","Male"
"742","6522","15-19","1075","Male"
"743","6523","15-19","1415","Male"
"744","6524","15-19","1090","Male"
"745","6531","15-19","1615","Male"
"746","6532","15-19","900","Male"
"747","6533","15-19","805","Male"
"748","7111","15-19","580","Male"
"749","7121","15-19","515","Male"
"750","7131","15-19","1085","Male"
"751","7141","15-19","1870","Male"
"752","7142","15-19","1775","Male"
"753","7143","15-19","3465","Male"
"754","7151","15-19","1145","Male"
"755","7152","15-19","385","Male"
"756","8111","15-19","550","Male"
"757","8121","15-19","730","Male"
"758","8131","15-19","1205","Male"
"759","8141","15-19","1260","Male"
"760","8151","15-19","325","Male"
"761","8152","15-19","100","Male"
"762","9111","15-19","130","Male"
"763","9121","15-19","115","Male"
"764","9122","15-19","110","Male"
"765","9123","15-19","820","Male"
"766","9131","15-19","190","Male"
"767","9141","15-19","830","Male"
"768","9151","15-19","165","Male"
"769","9161","15-19","160","Male"
"770","9171","15-19","35","Male"
"771","10011","15-19","30","Male"
"772","10012","15-19","45","Male"
"773","10013","15-19","50","Male"
"774","10014","15-19","270","Male"
"775","11111","15-19","355","Male"
"776","11112","15-19","405","Male"
"777","11121","15-19","225","Male"
"778","11131","15-19","45","Male"
"779","11132","15-19","365","Male"
"780","11133","15-19","15","Male"
"781","11141","15-19","385","Male"
"782","11211","15-19","270","Male"
"783","12111","15-19","790","Male"
"784","12112","15-19","2800","Male"
"785","12113","15-19","1360","Male"
"786","12114","15-19","940","Male"
"787","12115","15-19","815","Male"
"788","12121","15-19","955","Male"
"789","12131","15-19","530","Male"
"790","12132","15-19","1420","Male"
"791","12141","15-19","410","Male"
"792","12151","15-19","580","Male"
"793","12152","15-19","405","Male"
"794","13111","15-19","4735","Male"
"795","13112","15-19","2000","Male"
"796","13113","15-19","2500","Male"
"797","13114","15-19","3850","Male"
"798","14111","15-19","1175","Male"
"799","14112","15-19","1295","Male"
"800","14113","15-19","1680","Male"
"801","14114","15-19","1100","Male"
"802","14121","15-19","5085","Male"
"803","14122","15-19","3875","Male"
"804","15111","15-19","765","Male"
"805","15121","15-19","1010","Male"
"806","15131","15-19","830","Male"
"807","15141","15-19","750","Male"
"808","15151","15-19","3335","Male"
"809","15161","15-19","4305","Male"
"810","15171","15-19","5700","Male"
"811","16111","15-19","3455","Male"
"812","16112","15-19","2400","Male"
"813","16121","15-19","1850","Male"
"814","16122","15-19","3190","Male"
"815","16211","15-19","1405","Male"
"816","16212","15-19","1825","Male"
"817","16213","15-19","3820","Male"
"818","16221","15-19","3450","Male"
"819","16222","15-19","2365","Male"
"820","16223","15-19","460","Male"
"821","16231","15-19","1105","Male"
"822","16311","15-19","4650","Male"
"823","16321","15-19","1410","Male"
"824","16331","15-19","595","Male"
"825","16341","15-19","2255","Male"
"826","16342","15-19","3450","Male"
"827","16343","15-19","820","Male"
"828","17011","15-19","395","Male"
