"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"3094","16343","/85-;Males","120","Male",2011
"3095","17011","/85-;Males","5","Male",2011
"3096","17012","/85-;Males","0","Male",2011
"3097","18011","/85-;Males","15","Male",2011
"3098","1111","Total","10855","Female",2011
"3099","1121","Total","17510","Female",2011
"3100","1131","Total","10275","Female",2011
"3101","1141","Total","4620","Female",2011
"3102","1151","Total","28500","Female",2011
"3103","1161","Total","9505","Female",2011
"3104","1171","Total","10980","Female",2011
"3105","1181","Total","9335","Female",2011
"3106","2111","Total","16135","Female",2011
"3107","2121","Total","12840","Female",2011
"3108","2131","Total","25975","Female",2011
"3109","2141","Total","32250","Female",2011
"3110","2151","Total","37845","Female",2011
"3111","2161","Total","11145","Female",2011
"3112","3111","Total","24575","Female",2011
"3113","3121","Total","31055","Female",2011
"3114","3122","Total","24445","Female",2011
"3115","3123","Total","41730","Female",2011
"3116","3124","Total","19520","Female",2011
"3117","3125","Total","12670","Female",2011
"3118","3126","Total","30635","Female",2011
"3119","3131","Total","44980","Female",2011
"3120","3132","Total","53060","Female",2011
"3121","3133","Total","43170","Female",2011
"3122","3134","Total","16340","Female",2011
"3123","3141","Total","6720","Female",2011
"3124","3142","Total","8195","Female",2011
"3125","4111","Total","7390","Female",2011
"3126","4121","Total","6450","Female",2011
"3127","4122","Total","6045","Female",2011
"3128","4131","Total","11700","Female",2011
"3129","4141","Total","32945","Female",2011
"3130","4151","Total","45685","Female",2011
"3131","4152","Total","24500","Female",2011
"3132","4161","Total","11520","Female",2011
"3133","4162","Total","9955","Female",2011
"3134","4171","Total","49665","Female",2011
"3135","4181","Total","34955","Female",2011
"3136","4182","Total","11615","Female",2011
"3137","5111","Total","25920","Female",2011
"3138","5121","Total","48435","Female",2011
"3139","5131","Total","24580","Female",2011
"3140","5141","Total","9375","Female",2011
"3141","5151","Total","79830","Female",2011
"3142","5161","Total","14580","Female",2011
"3143","5171","Total","7340","Female",2011
"3144","5181","Total","10745","Female",2011
"3145","5191","Total","11005","Female",2011
"3146","6111","Total","42205","Female",2011
"3147","6112","Total","44665","Female",2011
"3148","6113","Total","25375","Female",2011
"3149","6121","Total","31260","Female",2011
"3150","6122","Total","39290","Female",2011
"3151","6211","Total","26895","Female",2011
"3152","6212","Total","38290","Female",2011
"3153","6221","Total","14145","Female",2011
"3154","6222","Total","23850","Female",2011
"3155","6223","Total","17720","Female",2011
"3156","6224","Total","27180","Female",2011
"3157","6225","Total","29510","Female",2011
"3158","6311","Total","13330","Female",2011
"3159","6312","Total","15750","Female",2011
"3160","6313","Total","34560","Female",2011
"3161","6314","Total","6915","Female",2011
"3162","6321","Total","19180","Female",2011
"3163","6322","Total","25330","Female",2011
"3164","6323","Total","15350","Female",2011
"3165","6324","Total","6505","Female",2011
"3166","6411","Total","27470","Female",2011
"3167","6412","Total","46725","Female",2011
"3168","6421","Total","40715","Female",2011
"3169","6422","Total","44525","Female",2011
"3170","6431","Total","30205","Female",2011
"3171","6432","Total","23390","Female",2011
"3172","6511","Total","28575","Female",2011
"3173","6512","Total","40040","Female",2011
"3174","6521","Total","29820","Female",2011
"3175","6522","Total","22435","Female",2011
"3176","6523","Total","27390","Female",2011
"3177","6524","Total","22145","Female",2011
"3178","6531","Total","44150","Female",2011
"3179","6532","Total","22225","Female",2011
"3180","6533","Total","23380","Female",2011
"3181","7111","Total","9920","Female",2011
"3182","7121","Total","10175","Female",2011
"3183","7131","Total","14305","Female",2011
"3184","7151","Total","6020","Female",2011
"3185","7152","Total","8205","Female",2011
"3186","8111","Total","10410","Female",2011
"3187","8121","Total","12175","Female",2011
"3188","8131","Total","20580","Female",2011
"3189","8141","Total","21180","Female",2011
"3190","8151","Total","6615","Female",2011
"3191","8152","Total","1585","Female",2011
"3192","9111","Total","1535","Female",2011
"3193","9121","Total","2815","Female",2011
"3194","9122","Total","2905","Female",2011
"3195","9123","Total","16020","Female",2011
"3196","9131","Total","3580","Female",2011
"3197","9141","Total","12410","Female",2011
"3198","9151","Total","3290","Female",2011
"3199","9161","Total","2385","Female",2011
"3200","9171","Total","285","Female",2011
"3201","10011","Total","605","Female",2011
"3202","10012","Total","730","Female",2011
"3203","10013","Total","1010","Female",2011
"3204","10014","Total","4420","Female",2011
"3205","11111","Total","7810","Female",2011
"3206","11112","Total","9210","Female",2011
"3207","11121","Total","6045","Female",2011
"3208","11131","Total","1200","Female",2011
"3209","11132","Total","8235","Female",2011
"3210","11133","Total","385","Female",2011
"3211","11141","Total","8630","Female",2011
"3212","11211","Total","6590","Female",2011
"3213","12111","Total","14480","Female",2011
"3214","12112","Total","45350","Female",2011
"3215","12113","Total","28200","Female",2011
"3216","12114","Total","17450","Female",2011
"3217","12115","Total","14340","Female",2011
"3218","12121","Total","21860","Female",2011
"3219","12131","Total","9515","Female",2011
"3220","12132","Total","25435","Female",2011
"3221","12141","Total","8535","Female",2011
"3222","12151","Total","11545","Female",2011
"3223","12152","Total","9225","Female",2011
"3224","13111","Total","67955","Female",2011
"3225","13112","Total","29800","Female",2011
"3226","13113","Total","45920","Female",2011
"3227","13114","Total","57880","Female",2011
