"","ca.age.pry.census_id","ca.age.pry.Age","ca.age.pry.Count","ca.age.pry.Sex","ca.age.pry.Year"
"302","46","5 - 9","35785","Female",2006
"303","47","5 - 9","29905","Female",2006
"304","48","5 - 9","99505","Female",2006
"305","59","5 - 9","107525","Female",2006
"306","60","5 - 9","890","Female",2006
"307","61","5 - 9","1535","Female",2006
"308","62","5 - 9","1625","Female",2006
"309","1","10 - 14","1014060","Female",2006
"310","10","10 - 14","14320","Female",2006
"311","11","10 - 14","4550","Female",2006
"312","12","10 - 14","27685","Female",2006
"313","13","10 - 14","21910","Female",2006
"314","24","10 - 14","234655","Female",2006
"315","35","10 - 14","397740","Female",2006
"316","46","10 - 14","40670","Female",2006
"317","47","10 - 14","33725","Female",2006
"318","48","10 - 14","109650","Female",2006
"319","59","10 - 14","124745","Female",2006
"320","60","10 - 14","1055","Female",2006
"321","61","10 - 14","1740","Female",2006
"322","62","10 - 14","1615","Female",2006
"323","1","15 - 19","1045210","Female",2006
"324","10","15 - 19","16745","Female",2006
"325","11","15 - 19","4940","Female",2006
"326","12","15 - 19","30245","Female",2006
"327","13","15 - 19","23240","Female",2006
"328","24","15 - 19","232820","Female",2006
"329","35","15 - 19","405930","Female",2006
"330","46","15 - 19","41210","Female",2006
"331","47","15 - 19","36450","Female",2006
"332","48","15 - 19","116080","Female",2006
"333","59","15 - 19","133230","Female",2006
"334","60","15 - 19","1050","Female",2006
"335","61","15 - 19","1760","Female",2006
"336","62","15 - 19","1510","Female",2006
"337","1","20 - 24","1032435","Female",2006
"338","10","20 - 24","15895","Female",2006
"339","11","20 - 24","4400","Female",2006
"340","12","20 - 24","28720","Female",2006
"341","13","20 - 24","22315","Female",2006
"342","24","20 - 24","233730","Female",2006
"343","35","20 - 24","396815","Female",2006
"344","46","20 - 24","38635","Female",2006
"345","47","20 - 24","33440","Female",2006
"346","48","20 - 24","123005","Female",2006
"347","59","20 - 24","131825","Female",2006
"348","60","20 - 24","925","Female",2006
"349","61","20 - 24","1520","Female",2006
"350","62","20 - 24","1215","Female",2006
"351","1","25 - 29","1009635","Female",2006
"352","10","25 - 29","14385","Female",2006
"353","11","25 - 29","3865","Female",2006
"354","12","25 - 29","26685","Female",2006
"355","13","25 - 29","21525","Female",2006
"356","24","25 - 29","247540","Female",2006
"357","35","25 - 29","383170","Female",2006
"358","46","25 - 29","35530","Female",2006
"359","47","25 - 29","29320","Female",2006
"360","48","25 - 29","118775","Female",2006
"361","59","25 - 29","125015","Female",2006
"362","60","25 - 29","930","Female",2006
"363","61","25 - 29","1675","Female",2006
"364","62","25 - 29","1230","Female",2006
"365","1","30 - 34","1032510","Female",2006
"366","10","30 - 34","16340","Female",2006
"367","11","30 - 34","4090","Female",2006
"368","12","30 - 34","28765","Female",2006
"369","13","30 - 34","23675","Female",2006
"370","24","30 - 34","234525","Female",2006
"371","35","30 - 34","409925","Female",2006
"372","46","30 - 34","35750","Female",2006
"373","47","30 - 34","28125","Female",2006
"374","48","30 - 34","115805","Female",2006
"375","59","30 - 34","131740","Female",2006
"376","60","30 - 34","1120","Female",2006
"377","61","30 - 34","1585","Female",2006
"378","62","30 - 34","1075","Female",2006
"379","1","35 - 39","1124775","Female",2006
"380","10","35 - 39","19190","Female",2006
"381","11","35 - 39","4515","Female",2006
"382","12","35 - 39","31635","Female",2006
"383","13","35 - 39","25325","Female",2006
"384","24","35 - 39","251960","Female",2006
"385","35","35 - 39","453770","Female",2006
"386","46","35 - 39","37310","Female",2006
"387","47","35 - 39","28875","Female",2006
"388","48","35 - 39","118255","Female",2006
"389","59","35 - 39","150090","Female",2006
"390","60","35 - 39","1150","Female",2006
"391","61","35 - 39","1625","Female",2006
"392","62","35 - 39","1070","Female",2006
"393","1","40 - 44","1324925","Female",2006
"394","10","40 - 44","21585","Female",2006
"395","11","40 - 44","5555","Female",2006
"396","12","40 - 44","39055","Female",2006
"397","13","40 - 44","30680","Female",2006
"398","24","40 - 44","310555","Female",2006
"399","35","40 - 44","525280","Female",2006
"400","46","40 - 44","44560","Female",2006
"401","47","40 - 44","36580","Female",2006
"402","48","40 - 44","134770","Female",2006
"403","59","40 - 44","172160","Female",2006
"404","60","40 - 44","1445","Female",2006
"405","61","40 - 44","1790","Female",2006
"406","62","40 - 44","905","Female",2006
"407","1","45 - 49","1330470","Female",2006
"408","10","45 - 49","21955","Female",2006
"409","11","45 - 49","5660","Female",2006
"410","12","45 - 49","39800","Female",2006
"411","13","45 - 49","31330","Female",2006
"412","24","45 - 49","325895","Female",2006
"413","35","45 - 49","505585","Female",2006
