"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"634","14113","10-14","1505","Male",2016
"635","14114","10-14","990","Male",2016
"636","14121","10-14","5345","Male",2016
"637","14122","10-14","3515","Male",2016
"638","15111","10-14","825","Male",2016
"639","15121","10-14","1075","Male",2016
"640","15131","10-14","825","Male",2016
"641","15141","10-14","800","Male",2016
"642","15151","10-14","3535","Male",2016
"643","15161","10-14","4580","Male",2016
"644","15171","10-14","5245","Male",2016
"645","16111","10-14","3380","Male",2016
"646","16112","10-14","2280","Male",2016
"647","16121","10-14","2110","Male",2016
"648","16122","10-14","3055","Male",2016
"649","16211","10-14","1255","Male",2016
"650","16212","10-14","1730","Male",2016
"651","16213","10-14","3855","Male",2016
"652","16221","10-14","3520","Male",2016
"653","16222","10-14","2265","Male",2016
"654","16223","10-14","465","Male",2016
"655","16231","10-14","1110","Male",2016
"656","16311","10-14","5035","Male",2016
"657","16321","10-14","1330","Male",2016
"658","16331","10-14","560","Male",2016
"659","16341","10-14","2185","Male",2016
"660","16342","10-14","3645","Male",2016
"661","16343","10-14","830","Male",2016
"662","17011","10-14","440","Male",2016
"663","17012","10-14","275","Male",2016
"664","18011","10-14","955","Male",2016
"665","1111","15-19","550","Male",2016
"666","1121","15-19","855","Male",2016
"667","1131","15-19","490","Male",2016
"668","1141","15-19","170","Male",2016
"669","1151","15-19","1415","Male",2016
"670","1161","15-19","445","Male",2016
"671","1171","15-19","490","Male",2016
"672","1181","15-19","440","Male",2016
"673","2111","15-19","865","Male",2016
"674","2121","15-19","610","Male",2016
"675","2131","15-19","1330","Male",2016
"676","2141","15-19","1740","Male",2016
"677","2151","15-19","1990","Male",2016
"678","2161","15-19","470","Male",2016
"679","3111","15-19","1175","Male",2016
"680","3121","15-19","1935","Male",2016
"681","3122","15-19","1045","Male",2016
"682","3123","15-19","1820","Male",2016
"683","3124","15-19","455","Male",2016
"684","3125","15-19","360","Male",2016
"685","3126","15-19","1015","Male",2016
